date,value
2015-03-18,25.01
2015-03-19,25.05
2015-03-20,25.08
2015-03-23,25.09
2015-03-24,25.08
2015-03-25,25.12
2015-03-26,25.13
2015-03-27,25.13
2015-03-30,25.05
2015-03-31,24.94
2015-04-01,24.93
2015-04-06,24.97
2015-04-07,24.95
2015-04-08,24.94
2015-04-09,24.97
2015-04-10,25.04
2015-04-13,25.12
2015-04-15,25.21
2015-04-16,25.12
2015-04-17,25.06
2015-04-20,25.06
2015-04-21,25.00
2015-04-22,24.95
2015-04-23,25.05
2015-04-24,24.96
2015-04-27,25.00
2015-04-28,25.06
2015-04-29,25.08
2015-04-30,25.16
2015-05-01,25.14
2015-05-05,25.04
2015-05-06,25.07
2015-05-07,25.13
2015-05-08,25.06
2015-05-11,25.06
2015-05-12,25.03
2015-05-13,25.13
2015-05-14,25.22
2015-05-15,25.27
2015-05-18,25.30
2015-05-19,25.35
2015-05-20,25.36
2015-05-21,25.41
2015-05-22,25.35
2015-05-25,25.33
2015-05-26,25.33
2015-05-27,25.30
2015-05-28,25.35
2015-05-29,25.35
2015-06-01,25.29
2015-06-02,25.33
2015-06-03,25.21
2015-06-04,25.21
2015-06-05,25.19
2015-06-08,25.14
2015-06-09,25.07
2015-06-10,25.06
2015-06-11,25.03
2015-06-12,25.13
2015-06-15,25.23
2015-06-16,25.40
2015-06-17,25.50
2015-06-18,25.61
2015-06-19,25.71
2015-06-22,25.74
2015-06-23,25.73
2015-06-24,25.63
2015-06-25,25.52
2015-06-26,25.58
2015-06-29,25.54
2015-06-30,25.41
2015-07-01,25.26
2015-07-02,25.27
2015-07-03,25.17
2015-07-06,25.07
2015-07-07,24.95
2015-07-08,24.86
2015-07-09,24.86
2015-07-10,24.97
2015-07-13,24.93
2015-07-14,24.95
2015-07-15,24.98
2015-07-16,24.92
2015-07-17,25.02
2015-07-20,25.04
2015-07-21,25.05
2015-07-22,25.05
2015-07-23,25.11
2015-07-24,25.18
2015-07-27,25.24
2015-07-28,25.22
2015-07-29,25.20
2015-07-30,25.17
2015-07-31,25.14
2015-08-03,25.16
2015-08-04,25.06
2015-08-05,24.98
2015-08-06,24.91
2015-08-07,24.91
2015-08-10,24.97
2015-08-11,25.00
2015-08-12,25.00
2015-08-13,25.00
2015-08-14,25.06
2015-08-17,25.16
2015-08-18,25.22
2015-08-19,25.21
2015-08-20,25.18
2015-08-21,25.14
2015-08-24,25.21
2015-08-25,25.21
2015-08-26,25.18
2015-08-27,25.15
2015-08-28,25.15
2015-08-31,25.13
2015-09-01,25.04
2015-09-02,25.02
2015-09-03,25.00
2015-09-04,24.98
2015-09-07,24.96
2015-09-08,24.87
2015-09-09,24.93
2015-09-10,25.00
2015-09-11,25.00
2015-09-14,25.00
2015-09-15,24.98
2015-09-16,24.93
2015-09-17,24.80
2015-09-18,24.73
2015-09-21,24.66
2015-09-22,24.59
2015-09-23,24.51
2015-09-24,24.37
2015-09-28,24.45
2015-09-29,24.68
2015-09-30,24.76
2015-10-01,24.76
2015-10-05,24.84
2015-10-06,24.92
2015-10-07,25.01
2015-10-08,25.01
2015-10-09,25.01
2015-10-12,25.15
2015-10-13,25.20
2015-10-14,25.20
2015-10-15,25.20
2015-10-16,25.31
2015-10-19,25.40
2015-10-20,25.74
2015-10-23,25.99
2015-10-26,26.00
2015-10-27,26.05
2015-10-28,25.98
2015-10-29,25.87
2015-10-30,25.80
2015-10-31,25.43
2015-11-01,24.99
2015-11-02,25.01
2015-11-03,24.98
2015-11-04,25.08
2015-11-05,25.17
2015-11-06,25.17
2015-11-07,25.01
2015-11-08,24.89
2015-11-09,24.89
2015-11-10,24.85
2015-11-11,24.81
2015-11-12,24.81
2015-11-13,24.80
2015-11-14,24.86
2015-11-15,24.92
2015-11-16,24.96
2015-11-17,24.96
2015-11-18,24.96
2015-11-19,24.96
2015-11-20,24.97
2015-11-21,25.07
2015-11-22,25.01
2015-11-23,24.94
2015-11-24,24.99
2015-11-25,25.25
2015-11-26,25.32
2015-11-27,25.38
2015-11-28,25.44
2015-11-29,25.93
2015-11-30,26.09
2015-12-01,26.18
2015-12-02,26.10
2015-12-03,26.19
2015-12-04,26.23
2015-12-05,26.25
2015-12-06,25.75
2015-12-07,25.69
2015-12-08,25.69
2015-12-09,25.65
2015-12-10,25.59
2015-12-11,25.59
2015-12-12,25.71
2015-12-13,25.71
2015-12-14,25.81
2015-12-15,25.84
2015-12-16,25.87
2015-12-17,25.90
2015-12-18,25.93
2015-12-19,25.85
2015-12-20,26.28
2015-12-21,26.28
2015-12-22,26.28
2015-12-23,26.28
2015-12-24,26.39
2015-12-25,26.50
2015-12-26,26.50
2015-12-27,26.50
